_id,wdt_counter,program_version,time_stamp,latitude,longitude,air_temp,air_pressure,bottom_distance,water_temp,surface_distance,battery_voltage,gps_satellites,iridium_signal,iridium_retries,dtc_values_0,dtc_values_1,dtc_values_2,dtc_values_3,dtc_values_4,dtc_values_5,dtc_values_6,dtc_values_7,dtc_values_8,dtc_values_9,dtc_values_10,dtc_values_11,dtc_values_12,dtc_values_13,dtc_values_14,dtc_values_15,dtc_values_16,dtc_values_17,dtc_values_18,dtc_values_19,dtc_values_20,dtc_values_21,dtc_values_22,dtc_values_23,dtc_values_24,dtc_values_25,dtc_values_26,dtc_values_27,dtc_values_28,dtc_values_29,dtc_values_30,dtc_values_31,dtc_values_32,dtc_values_33,dtc_values_34,dtc_values_35,dtc_values_36,dtc_values_37,dtc_values_38,dtc_values_39,dtc_values_40,dtc_values_41,dtc_values_42,dtc_values_43,dtc_values_44,dtc_values_45,dtc_values_46,dtc_values_47,dtc_values_48,dtc_values_49,dtc_values_50,dtc_values_51,dtc_values_52,dtc_values_53,dtc_values_54,dtc_values_55,dtc_values_56,dtc_values_57,dtc_values_58,dtc_values_59,dtc_values_60,dtc_values_61,dtc_values_62,dtc_values_63,dtc_values_64,dtc_values_65,dtc_values_66,dtc_values_67,dtc_values_68,dtc_values_69,dtc_values_70,dtc_values_71,dtc_values_72,dtc_values_73,dtc_values_74,dtc_values_75,dtc_values_76,dtc_values_77,dtc_values_78,dtc_values_79,dtc_values_80,dtc_values_81,dtc_values_82,dtc_values_83,dtc_values_84,dtc_values_85,dtc_values_86,dtc_values_87,dtc_values_88,dtc_values_89,dtc_values_90,dtc_values_91,dtc_values_92,dtc_values_93,dtc_values_94,dtc_values_95,dtc_values_96,dtc_values_97,dtc_values_98,dtc_values_99,dtc_values_100,dtc_values_101,dtc_values_102,dtc_values_103,dtc_values_104,dtc_values_105,dtc_values_106,dtc_values_107,dtc_values_108,dtc_values_109,dtc_values_110,dtc_values_111,dtc_values_112,dtc_values_113,dtc_values_114,dtc_values_115,dtc_values_116,dtc_values_117,dtc_values_118,dtc_values_119,dtc_values_120,dtc_values_121,dtc_values_122,dtc_values_123,dtc_values_124,dtc_values_125,dtc_values_126,dtc_values_127,dtc_values_128,dtc_values_129,dtc_values_130,dtc_values_131,dtc_values_132,dtc_values_133,dtc_values_134,dtc_values_135,dtc_values_136,dtc_values_137,dtc_values_138,dtc_values_139,dtc_values_140,dtc_values_141,dtc_values_142,dtc_values_143,dtc_values_144,dtc_values_145,dtc_values_146,dtc_values_147,dtc_values_148,dtc_values_149,dtc_values_150,dtc_values_151,dtc_values_152,dtc_values_153,dtc_values_154,dtc_values_155,dtc_values_156,dtc_values_157,dtc_values_158,dtc_values_159,filename
67b4b28c0e7dc855f5480ded,1,8,1542289777,0,0,10.1875,1015.1,6.88,16.84,2.102,18.55,4,0,0,18.8125,18.5625,18.6875,18.4375,18.4375,18.5,18.5625,18.5,18.25,18.1875,18.4375,18.3125,18.25,18.125,18.1875,18.125,18.125,18.125,18,18.1875,18.0625,18.0625,18.125,18.125,18.0625,18.1875,18.125,18.1875,17.875,17.875,17.9375,17.9375,17.6875,17.75,17.625,17.6875,17.5625,17.4375,17.375,17.25,17.125,17.0625,17.125,17,16.8125,16.75,16.875,16.875,16.75,16.625,16.8125,16.8125,16.625,16.625,16.6875,16.625,16.625,16.625,16.5625,16.5625,16.5625,16.6875,16.625,16.4375,16.25,16.25,16.25,16.125,15.9375,15.875,15.75,14.8125,14.75,14.5,14.3125,14.4375,14.3125,13.9375,13.6875,13.625,14.0625,13.6875,13.875,13.9375,13.9375,14.125,13.9375,14,14.0625,13.9375,13.9375,13.875,14.25,14.375,14.3125,14.5,14.6875,15.6875,16.0625,16.0625,16,16.25,16.4375,16.4375,16.6875,16.75,16.8125,16.875,16.9375,16.875,16.875,17,16.875,16.9375,17,16.9375,17.1875,17.125,17.125,17.125,17.0625,17.0625,17.125,17.0625,17.0625,17.25,17.5,17.25,17.4375,17.5625,17.5625,17.8125,17.8125,17.9375,18,17.9375,17.9375,18.125,18.125,18.1875,18.0625,17.9375,18.0625,18.125,18.125,18.0625,18.0625,18.1875,18.25,18.3125,18.25,18.3125,18.5,18.5,18.375,18.4375,18.5625,18.6875,18.75,18.9375,301434061846300_000004.sbd
67b3c59a0e7dc855f5480c20,1,8,1739834718,41.487908,-71.426496,1.1875,1007.6,0,8.96,1.883,18.58,4,5,0,13.4375,13.1875,13.4375,13.0625,13,13.125,13.3125,13.3125,12.9375,13,13.5,13.5,13.4375,13.125,13.3125,13.4375,13.5625,13.5,13.375,13.75,13.6875,13.6875,13.75,13.75,13.6875,14,14.0625,14.1875,13.875,13.9375,14.125,14.25,14,14.1875,14.0625,14.25,14.375,14.4375,14.375,14.25,14.1875,14.25,14.5,14.375,14.125,14.0625,14.3125,14.3125,14,13.9375,14.125,14.125,13.75,13.6875,13.75,13.6875,13.625,13.6875,13.5625,13.625,13.6875,13.875,13.625,13.125,12.75,12.4375,12.5625,12.3125,10.8125,10.4375,10.75,10.625,10.375,10.3125,10.1875,10.5625,10.4375,9.875,9.5,9.25,8,7.9375,8.3125,8.5,8.5,8.8125,8.75,8.875,9.125,9.25,9,8.625,8.875,8.9375,8.75,8.75,8.75,9.1875,9.5625,10,11.6875,12.5625,13.125,13.1875,13.5,13.75,14,14.3125,14.6875,14.8125,14.9375,15.125,15.125,15.3125,15.4375,15.375,15.5625,15.6875,15.625,15.625,15.5,15.5,15.6875,15.75,15.5,15.625,15.8125,15.5625,15.6875,15.625,15.625,15.6875,15.75,15.8125,15.75,15.6875,15.625,15.75,15.75,15.75,15.5625,15.3125,15.5625,15.75,15.75,15.625,15.75,15.75,15.875,15.8125,15.625,15.5625,15.8125,15.75,15.5625,15.625,15.6875,15.8125,15.875,16.0625,301434061846300_000000.sbd
67b3c75c0e7dc855f5480c39,1,8,1739835060,41.488424,-71.426688,-0.625,1007.7,0,4.52,1.861,18.6,6,0,0,8.875,8.6875,9,8.625,8.5625,8.75,9,9.0625,8.625,8.6875,9.1875,9.1875,9.0625,8.75,8.9375,9.0625,9.25,9.125,8.875,9.3125,9.25,9.25,9.3125,9.1875,9.25,9.5625,9.625,9.75,9.375,9.5,9.6875,9.8125,9.5625,9.75,9.625,9.8125,10,10,9.9375,9.75,9.6875,9.8125,10.0625,9.875,9.625,9.5625,9.9375,9.875,9.5,9.4375,9.6875,9.75,9.375,9.375,9.5,9.4375,9.4375,9.375,9.0625,9.125,9.3125,9.5,9.1875,8.6875,8.3125,8.125,8.5,8.375,6.3125,6.0625,6.5625,6.3125,6.125,6.1875,6.1875,6.4375,6.3125,5.75,5.0625,4.5,3.1875,3.1875,3.625,3.75,3.75,4.0625,4.0625,4.3125,4.75,5.125,4.875,4.375,4.5625,4.625,4.4375,4.4375,4.375,4.6875,5.125,5.8125,8,9,9.4375,9.5,9.8125,10.125,10.4375,10.8125,11.3125,11.5625,11.6875,11.9375,12,12.1875,12.3125,12.25,12.5,12.5625,12.5625,12.5,12.3125,12.3125,12.625,12.625,12.25,12.4375,12.5625,12.375,12.5,12.375,12.3125,12.5,12.625,12.625,12.5625,12.4375,12.4375,12.625,12.75,12.625,12.4375,12.1875,12.5,12.875,12.75,12.625,12.75,12.6875,12.9375,12.8125,12.5625,12.5625,12.875,12.6875,12.5,12.5,12.5625,12.8125,12.8125,13,301434061846300_000001.sbd
67b3c8090e7dc855f5480c51,1,8,1739835330,41.48846,-71.4268,-0.6875,1007.8,0,2.99,0.73,18.58,6,3,0,6.4375,6.3125,6.5,6.25,6.1875,6.375,6.5,6.5625,6.25,6.3125,6.75,6.75,6.625,6.5,6.5625,6.6875,6.8125,6.6875,6.5,6.8125,6.8125,6.75,6.8125,6.8125,6.8125,7.0625,7.125,7.3125,7,7.0625,7.1875,7.25,7.0625,7.25,7.1875,7.375,7.5,7.5,7.5,7.3125,7.3125,7.375,7.625,7.5,7.3125,7.25,7.5,7.4375,7.25,7.1875,7.375,7.4375,7.125,7.125,7.1875,7.125,7.125,7.0625,6.8125,6.75,6.9375,7.0625,6.75,6.4375,6.0625,6,6.3125,6.125,4.8125,4.625,5.125,4.75,4.625,4.75,4.75,4.9375,4.75,4.3125,3.5,2.9375,1.3125,1.3125,1.625,1.75,1.8125,2.125,2.125,2.4375,3.0625,3.6875,3.4375,2.875,3.0625,3,2.9375,2.875,2.875,3.125,3.5625,4.3125,5.9375,6.875,7.3125,7.3125,7.6875,7.9375,8.25,8.625,9.125,9.375,9.5625,9.8125,9.8125,10,10.25,10.125,10.5,10.5,10.5625,10.5,10.3125,10.375,10.5625,10.5625,10.25,10.4375,10.5625,10.3125,10.4375,10.375,10.3125,10.5,10.5,10.5625,10.5,10.375,10.375,10.5625,10.6875,10.6875,10.5,10.25,10.625,11.0625,11.0625,10.9375,11.0625,11,11.1875,11,10.75,10.75,11,10.8125,10.6875,10.6875,10.8125,11,11.125,11.3125,301434061846300_000002.sbd
67b3c9730e7dc855f5480c80,1,8,1739835630,41.48846,-71.426696,-1.375,1007.7,2.55,1.16,1.816,18.58,7,0,0,4.1875,3.9375,4.125,3.875,3.75,3.875,4,4.0625,3.75,3.8125,4.1875,4.1875,4.0625,4,4.125,4.25,4.375,4.3125,4.1875,4.5,4.5,4.5,4.5625,4.625,4.5625,4.8125,4.875,5.0625,4.75,4.75,5,5,4.8125,5,4.9375,5.125,5.1875,5.1875,5.1875,5.0625,5.0625,5.125,5.3125,5.25,5,5,5.1875,5.1875,5,4.9375,5.125,5.1875,4.9375,4.9375,5,4.875,4.8125,4.875,4.625,4.5,4.6875,4.8125,4.5625,4.25,4,4,4.25,3.6875,3.0625,3.125,3.8125,3.5,3.375,3.625,3.5625,3.6875,3.5625,3.125,2.375,1.875,0.0625,0,0.25,0.375,0.375,0.75,0.6875,1,1.625,2.3125,2.0625,1.5,1.5625,1.5625,1.5,1.4375,1.4375,1.6875,2.125,2.8125,4.0625,4.8125,5.125,5.125,5.5,5.625,5.875,6.25,6.625,6.875,7,7.25,7.3125,7.5,7.6875,7.625,7.9375,8,8.0625,8,7.875,7.875,8.125,8.125,7.8125,8,8.1875,7.9375,8.0625,8,7.9375,8.125,8.1875,8.1875,8.1875,8.0625,8.0625,8.25,8.4375,8.375,8.1875,7.9375,8.375,9,9.0625,8.9375,9.0625,8.9375,9.1875,8.9375,8.625,8.5625,8.75,8.5,8.3125,8.25,8.375,8.625,8.8125,9.0625,301434061846300_000003.sbd
67b5f9850e7dc855f5480f2e,1,8,1739979084,41.488472,-71.426688,7.875,1021,4.18,14.37,0.547,18.53,6,5,0,15.0625,14.875,15,14.875,14.875,14.9375,15,15.0625,15,14.9375,15.1875,15.125,15,15.0625,15.125,15.0625,15.125,15.0625,15.0625,15.1875,15.125,15.0625,15.1875,15.25,15.125,15.3125,15.25,15.4375,15.125,15.125,15.25,15.3125,15.1875,15.3125,15.25,15.375,15.3125,15.3125,15.375,15.3125,15.375,15.375,15.4375,15.4375,15.25,15.1875,15.25,15.1875,15.1875,15.0625,15.1875,15.1875,15.1875,15.1875,15.1875,15.0625,15.0625,15.1875,15.125,15.0625,15,15.125,15,14.875,14.75,14.625,14.5625,14.1875,13.8125,14.1875,14.5,14.5,14.5,14.5,14.5,14.75,14.75,14.6875,14.625,14.9375,15.0625,14.5625,14.625,14.625,14.5625,14.5625,14.375,14.3125,14.1875,13.9375,13.8125,13.75,13.9375,13.9375,13.75,13.6875,13.75,14.4375,14.6875,14.625,14.4375,14.625,14.625,14.5,14.75,14.75,14.75,14.75,14.8125,14.75,14.75,14.8125,14.6875,14.6875,14.8125,14.75,15,14.875,14.875,14.9375,14.875,14.875,14.9375,14.9375,14.8125,14.9375,15.125,14.8125,14.875,14.875,14.875,14.9375,14.9375,15,14.9375,14.875,14.75,14.875,14.8125,14.875,14.75,14.5625,14.5625,14.5,14.4375,14.3125,14.4375,14.4375,14.4375,14.5,14.4375,14.4375,14.5625,14.5625,14.4375,14.4375,14.5,14.5,14.5625,14.6875,301434061846300_000005.sbd
67b600a20e7dc855f5480f77,2,8,1739980831,41.48868,-71.426824,0.1875,1020.9,4.03,4.3,0.526,18.55,5,0,0,4.0625,4.1875,4.4375,4.5,4.625,5,5.375,5.8125,6,6.3125,6.8125,6.9375,6.9375,7,7.1875,7.25,7.4375,7.5,7.5,7.625,7.5625,7.4375,7.375,7.375,7.1875,7.375,7.375,7.625,7.375,7.4375,7.6875,7.8125,7.75,8.0625,8,8.3125,8.3125,8.375,8.4375,8.375,8.375,8.375,8.5,8.4375,8.125,7.9375,7.875,7.5625,7.1875,6.875,6.75,6.5,6,5.625,5.375,5,4.75,4.5625,4.3125,4.125,4.0625,4.1875,4,3.6875,3.4375,3.25,2.9375,2.4375,2.0625,2.1875,2.75,2.5,2.5625,2.75,2.8125,2.9375,2.9375,2.875,2.5,2.375,1.625,1.3125,1.5,1.5,1.4375,1.6875,1.5,1.6875,2.125,2.4375,2.25,1.8125,1.875,1.875,2,2.0625,2.4375,3.5625,4.3125,4.625,4.6875,5.125,5.4375,5.4375,5.8125,6.0625,6.3125,6.5,6.75,6.875,7.0625,7.25,7.25,7.4375,7.6875,7.75,8.0625,8.1875,8.25,8.3125,8.375,8.4375,8.5625,8.625,8.4375,8.6875,8.8125,8.5,8.625,8.625,8.5625,8.6875,8.625,8.625,8.6875,8.5625,8.5,8.5625,8.5625,8.625,8.5,8.375,8.625,8.9375,9.0625,8.9375,9.0625,9,9.0625,9,8.875,8.8125,9,8.9375,8.75,8.625,8.625,8.6875,8.625,8.625,301434061846300_000006.sbd
67c90c3f7310c3e27ae6452f,1,8,1741228974,70.20128,-148.444064,-13.25,1001.2,2.23,-11.99,0.52,18.53,6,5,0,-7.3125,-7.25,-6.875,-6.875,-6.8125,-6.5625,-6.3125,-6.125,-6.25,-6.125,-5.625,-5.5625,-5.625,-5.6875,-5.5,-5.25,-4.9375,-4.8125,-4.625,-4.1875,-4.0625,-4,-3.875,-3.6875,-3.625,-3.1875,-3,-2.6875,-3,-2.8125,-2.4375,-2.1875,-2.375,-2.125,-2.1875,-1.9375,-1.8125,-1.8125,-1.875,-2,-2,-2,-1.8125,-1.9375,-2.3125,-2.5625,-2.625,-2.9375,-3.375,-3.6875,-3.75,-4,-4.5,-4.875,-5.0625,-5.625,-6,-6.25,-6.6875,-7.125,-6.8125,-6.5625,-6.875,-7.4375,-7.875,-8.4375,-9.1875,-10.0625,-10.1875,-9.8125,-9.0625,-9.625,-9.8125,-9.6875,-9.6875,-9.6875,-9.9375,-10.4375,-11.1875,-11.4375,-11.1875,-10.625,-11.25,-11.875,-12.4375,-12.0625,-12.125,-11.8125,-11,-10.0625,-10.25,-11,-10.9375,-11.0625,-11.125,-11.3125,-11.375,-10.6875,-9.1875,-9.25,-9.4375,-9,-8.5625,-8.5,-7.875,-7.6875,-7.4375,-6.875,-6.0625,-5.625,-5.125,-4.625,-4.1875,-3.6875,-3.125,-2.9375,-2.3125,-2,-1.6875,-1.4375,-1.3125,-1.1875,-0.875,-0.8125,-1.1875,-0.9375,-0.75,-1.0625,-0.9375,-1.0625,-1.1875,-1.0625,-1.0625,-1.125,-1.25,-1.5625,-1.8125,-1.8125,-1.875,-1.9375,-2.25,-2.5,-1.9375,-1.1875,-1.1875,-1.4375,-1.375,-1.5625,-1.4375,-1.6875,-1.9375,-1.9375,-1.625,-1.8125,-2.0625,-2.125,-2.125,-1.9375,-1.9375,-1.8125,301434061846300_000007.sbd
67d3e3437310c3e27ae65331,51,8,1741939230,64.80854,-147.762128,0.0625,986.4,3.88,1.97,0.5,18.05,5,0,0,-1.6875,-1.875,-1.9375,-2.125,-2.1875,-2.1875,-2.3125,-2.3125,-2.4375,-2.5625,-2.5625,-2.6875,-2.875,-2.9375,-3,-3.25,-3.3125,-3.4375,-3.5625,-3.625,-3.75,-3.9375,-3.9375,-3.8125,-4.125,-4.0625,-4.125,-4,-4.4375,-4.4375,-4.375,-4.375,-4.5625,-4.4375,-4.625,-4.5,-4.6875,-4.75,-4.6875,-4.75,-4.6875,-4.875,-4.8125,-4.75,-5,-5.0625,-5,-5.0625,-5,-5.125,-5.125,-5,-5,-5.0625,-5.0625,-5.25,-5.3125,-5.125,-5.125,-5.1875,-5.25,-5.125,-5.3125,-5.4375,-5.5625,-5.625,-5.75,-6.0625,-6.1875,-6.1875,-6.1875,-6.375,-6.375,-6.5,-6.625,-6.6875,-6.875,-6.9375,-7.1875,-7.1875,-7.25,-7.3125,-7.125,-7,-6.875,-6.5625,-6.75,-6.5625,-6.4375,-6.625,-6.4375,-6.625,-6.375,-6.5,-6.4375,-6.4375,-6.3125,-6.1875,-5.875,-5.875,-5.9375,-5.5625,-5.4375,-5.625,-5.3125,-5.4375,-5.5625,-5.5,-5.375,-5.5,-5.3125,-5.125,-5.25,-5.1875,-4.875,-5,-4.625,-4.8125,-4.75,-4.625,-4.625,-4.5625,-4.5,-4.4375,-4.5625,-4.3125,-4.0625,-4.5,-4.3125,-4.1875,-4.125,-4,-4,-3.9375,-3.8125,-3.875,-3.875,-3.75,-3.75,-3.5,-3.5,-3.625,-3.375,-2.875,-2.3125,-2.0625,-1.5625,-1.4375,-1.1875,-1,-0.875,-0.6875,-0.4375,-0.25,-0.1875,-0.125,0.0625,0.3125,0.5,0.8125,301434061846300_000008.sbd
67d41b1a7310c3e27ae6537d,52,8,1741953630,64.808656,-147.76176,-5.0625,987.1,3.58,-3.78,0.5,18.08,6,0,0,-5.625,-5.875,-5.875,-6,-6.0625,-6.0625,-6.125,-6.125,-6.1875,-6.3125,-6.1875,-6.3125,-6.4375,-6.4375,-6.4375,-6.6875,-6.6875,-6.75,-6.8125,-6.875,-6.8125,-7,-6.9375,-6.75,-7.0625,-7,-7.0625,-6.875,-7.3125,-7.3125,-7.1875,-7.1875,-7.375,-7.1875,-7.375,-7.1875,-7.375,-7.4375,-7.375,-7.4375,-7.3125,-7.5,-7.4375,-7.3125,-7.5625,-7.625,-7.5625,-7.625,-7.5625,-7.625,-7.625,-7.625,-7.5625,-7.625,-7.5625,-7.8125,-7.8125,-7.6875,-7.6875,-7.75,-7.8125,-7.6875,-7.8125,-7.9375,-8.0625,-8.0625,-8.0625,-8.1875,-8.25,-8.1875,-8.1875,-8.375,-8.3125,-8.375,-8.4375,-8.5,-8.5625,-8.5625,-8.6875,-8.6875,-8.6875,-8.875,-8.75,-8.6875,-8.625,-8.3125,-8.5,-8.4375,-8.375,-8.5625,-8.3125,-8.4375,-8.25,-8.3125,-8.3125,-8.375,-8.25,-8.125,-7.9375,-8.0625,-8.1875,-7.875,-7.8125,-8.0625,-7.6875,-7.8125,-7.875,-7.8125,-7.6875,-7.875,-7.6875,-7.5625,-7.75,-7.75,-7.4375,-7.5625,-7.1875,-7.4375,-7.4375,-7.375,-7.25,-7.3125,-7.3125,-7.25,-7.4375,-7.125,-6.9375,-7.375,-7.25,-7.125,-7.125,-6.9375,-7,-6.9375,-6.8125,-6.9375,-6.9375,-6.8125,-6.875,-6.625,-6.625,-6.8125,-6.625,-6.25,-5.75,-5.625,-5.1875,-5.125,-5,-4.875,-4.75,-4.625,-4.5,-4.3125,-4.3125,-4.25,-4.125,-3.875,-3.75,-3.4375,301434061846300_000009.sbd
688c571047d08710f7fae958,1,8,1754027700,78.886608,-156.719456,3,994.7,3.88,4.79,1.347,18.03,7,5,0,6.375,6.25,6.3125,6.25,6.1875,6.1875,6.25,6.3125,6.1875,6.1875,6.375,6.3125,6.1875,6.1875,6.25,6.125,6.125,6.0625,6.0625,6.125,6.0625,6.0625,6.125,6.25,6.125,6.25,6.1875,6.375,6.0625,6.0625,6.125,6.1875,6,6.1875,6.0625,6.1875,6.0625,6.0625,6.0625,6.0625,6.1875,6.1875,6.3125,6.375,6.1875,6.125,6.1875,6.125,6.125,6,6.0625,6,5.9375,5.875,5.875,5.6875,5.6875,5.6875,5.625,5.5,5.5,5.75,5.6875,5.6875,5.6875,5.75,5.75,5.625,5.125,5.375,5.5625,5.5,5.5,5.5,5.4375,5.5625,5.5,5.4375,5.25,5.1875,4.625,4.5,4.625,4.6875,4.75,4.875,4.6875,4.75,4.6875,4.5625,4.625,4.4375,4.625,4.5,4.5,4.5,4.5,4.625,4.9375,4.9375,4.875,5.125,5.125,4.9375,5.125,5,5,5.0625,5.125,5.0625,5.1875,5.25,5.125,5.1875,5.3125,5.25,5.5,5.375,5.375,5.375,5.375,5.375,5.375,5.375,5.25,5.4375,5.625,5.25,5.3125,5.375,5.375,5.4375,5.375,5.5,5.5,5.4375,5.375,5.5,5.5,5.625,5.5625,5.375,5.5625,5.6875,5.875,5.8125,6,6,6.0625,6.0625,6.0625,6.0625,6.125,6.1875,6.125,6.0625,6.125,6.1875,6.25,6.375,301434061846300_000010.sbd
688c597047d08710f7fae9eb,1,8,1754028294,78.885296,-156.712384,1.625,994.8,3.88,3.11,1.322,18.1,5,5,0,4.8125,4.6875,4.75,4.625,4.625,4.625,4.6875,4.6875,4.625,4.625,4.8125,4.75,4.625,4.6875,4.6875,4.625,4.625,4.625,4.5625,4.6875,4.625,4.625,4.6875,4.8125,4.6875,4.8125,4.8125,4.9375,4.625,4.6875,4.75,4.8125,4.6875,4.8125,4.75,4.875,4.8125,4.8125,4.8125,4.8125,4.875,4.875,5.0625,5.125,4.9375,4.875,4.9375,4.8125,4.875,4.75,4.8125,4.8125,4.6875,4.625,4.625,4.4375,4.375,4.4375,4.3125,4.125,4.1875,4.3125,4.25,4.125,4.0625,4.0625,4,3.625,3.0625,3.1875,3.4375,3.3125,3.3125,3.25,3.25,3.3125,3.1875,3.0625,2.75,2.625,2.5625,2.4375,2.5625,2.5625,2.5625,2.75,2.6875,2.75,2.875,2.8125,2.875,2.75,2.875,2.8125,2.875,2.8125,2.875,3.0625,3.4375,3.625,3.625,3.8125,3.875,3.75,3.9375,3.875,3.875,4.0625,4.1875,4.125,4.25,4.3125,4.1875,4.3125,4.4375,4.375,4.5625,4.4375,4.4375,4.4375,4.4375,4.375,4.4375,4.4375,4.25,4.4375,4.625,4.25,4.3125,4.3125,4.3125,4.375,4.3125,4.375,4.4375,4.375,4.3125,4.4375,4.375,4.5,4.4375,4.25,4.4375,4.5625,4.6875,4.625,4.8125,4.8125,4.875,4.875,4.875,4.875,5,5.0625,4.9375,4.9375,5,5.0625,5.125,5.3125,301434061846300_000011.sbd
688d89a447d08710f7faebef,1,8,1754106228,78.884872,-156.115024,-0.25,1011.6,3.88,0.25,0.585,18.05,7,4,0,0.0625,-0.0625,-0.0625,-0.125,-0.1875,-0.1875,-0.1875,-0.125,-0.1875,-0.1875,-0.0625,-0.125,-0.25,-0.125,-0.0625,-0.1875,-0.1875,-0.125,-0.125,-0.0625,-0.0625,-0.0625,0,0.25,0,0.125,0.125,0.3125,-0.0625,0,0.125,0.1875,0,0.1875,0.125,0.25,0.125,0.125,0.1875,0.1875,0.25,0.25,0.3125,0.375,0.1875,0.1875,0.1875,0.25,0.3125,0.1875,0.3125,0.375,0.3125,0.375,0.375,0.25,0.25,0.375,0.375,0.3125,0.3125,0.4375,0.375,0.3125,0.25,0.3125,0.3125,0.3125,0.3125,0.4375,0.5,0.4375,0.5,0.4375,0.4375,0.5,0.5,0.5,0.3125,0.5,0.625,0.4375,0.5625,0.5625,0.5625,0.75,0.5625,0.625,0.625,0.4375,0.5625,0.375,0.5625,0.375,0.25,0.3125,0.375,0.5625,0.625,0.5,0.3125,0.5,0.4375,0.25,0.5,0.4375,0.375,0.4375,0.4375,0.3125,0.375,0.4375,0.25,0.25,0.4375,0.3125,0.5625,0.375,0.375,0.375,0.4375,0.375,0.375,0.375,0.25,0.5,0.625,0.25,0.3125,0.3125,0.3125,0.4375,0.3125,0.375,0.375,0.3125,0.25,0.3125,0.25,0.4375,0.375,0.125,0.1875,0.25,0.375,0.25,0.375,0.3125,0.3125,0.3125,0.25,0.3125,0.3125,0.375,0.25,0.25,0.3125,0.3125,0.375,0.5625,301434061846300_000012.sbd
